Bezirk,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Mitte,21130,22396,22955,23017,23300,23440,22949,22747,22295,21687
Friedrichshain-Kreuzberg,15504,16578,17543,17918,18280,18518,18459,18125,17715,17180
Pankow,23466,24667,25852,26294,27031,27632,27662,27497,27055,26373
Charlottenburg-Wilmersdorf,16288,16552,16816,16393,16492,16460,16143,16220,15610,14904
Spandau,15312,15652,15730,15321,15111,15098,14746,14524,13960,13027
Steglitz-Zehlendorf,14349,14938,15539,15510,15726,15810,15741,15732,15029,14543
Tempelhof-Schöneberg,19281,19735,20208,19923,20156,19888,19513,19204,18480,17609
Neukölln,18317,19006,19355,19519,19871,20333,20403,20022,19663,19363
Treptow-Köpenick,17140,17428,17425,17242,17031,16743,16201,15657,14662,13958
Marzahn-Hellersdorf,17784,18063,17832,17398,17173,17035,17247,16836,16277,15774
Lichtenberg,19646,20170,20243,19877,19710,19455,19048,18453,17642,16399
Reinickendorf,15157,15188,15599,15495,15741,15741,15494,15122,14728,13987
